País,Proporción de la población en pobreza extrema a $2.15 al día (PPP 2017) (%),"Esperanza de vida al nacer, total (años)","Población, total",Crecimiento de la población (anual %),Migración neta,Índice de Capital Humano (HCI) (escala 0-1),PIB (US$ corrientes)US$ corrientesUS$ constantesLCU corrientesLCU constantes,PIB per cápita (US$ corrientes)US$ corrientesUS$ constantesLCU corrientesLCU constantes,Crecimiento del PIB (anual %),"Desempleo, total (% de la fuerza laboral total) (estimación OIT modelada)","Inflación, precios al consumidor (anual %)","Remesas personales, recibidas (% del PIB)",Emisiones de CO2 (toneladas métricas per cápita),Superficie forestal (% del área terrestre),Acceso a la electricidad (% de la población),"Retiros anuales de agua dulce, total (% de recursos internos)","Producción de electricidad a partir de fuentes renovables, excluyendo hidroeléctrica (% del total)",Personas que utilizan servicios de saneamiento gestionados de forma segura (% de la población),Homicidios intencionales (por cada 100.000 habitantes),"Deuda pública del gobierno central, total (% del PIB)",Indicadores de desempeño estadístico (SPI): Puntuación general (escala 0-100),Individuos que utilizan Internet (% de la población),Proporción de escaños ocupados por mujeres en los parlamentos nacionales (%),"Inversión extranjera directa, entradas netas (% del PIB)",Unnamed: 25
el-salvador,3.6,71.0,"6,336,392",0.4,"-27,343",0.5,32.49,"5,127.30",2.6,3.8,7.2,23.7,1.0,28.2,97.9,2,35.2,,18.0,65.5,68.8,63.0,27.0,0,
equatorial-guinea,,61.0,"1,674,908",2.4,"6,486",,11.81,"7,053.50",3.1,8.7,4.8,0.0,2.7,87.3,66.8,0,,,,,,54.0,31.0,4,
eritrea,,67.0,"3,684,032",1.7,"-14,988",,2.07,,8.7,6.6,,0.0,0.2,8.7,52.5,21,0.5,,15.0,,,22.0,22.0,1.9,
estonia,0.3,77.0,"1,344,768",1,"2,995",0.8,38,"28,332.60",-1.3,5.9,19.4,1.2,5.3,57.0,100.0,7,14.2,93.0,2.0,23.7,86.1,91.0,26.0,3.8,
eswatini,36.1,57.0,"1,201,670",0.8,"-4,897",0.4,5,"4,039.50",3.9,24.4,2.6,3.0,1.0,28.9,82.9,40,,,13.0,,47.2,59.0,14.0,2.4,
ethiopia,27.0,65.0,"123,379,924",2.5,"-1,391",0.4,126.78,"1,027.60",5.3,4.0,26.8,0.3,0.2,15.1,54.2,9,7.3,7.0,9.0,31.4,53.6,17.0,41.0,3.8,
faroe-islands,,83.0,"53,090",0.4,0,,3.65,"69,010.20",5.6,,,0.0,,0.1,100.0,,,,,,,98.0,,,
fiji,1.3,67.0,"929,766",0.6,"-6,003",0.5,4.94,"5,316.70",16.1,4.3,4.5,9.3,1.1,62.4,92.1,0,,,2.0,,57.6,88.0,20.0,2.1,
finland,0.0,82.0,"5,556,880",0.3,"14,928",0.8,280.83,"50,536.60",2.1,6.8,7.1,0.2,6.6,73.7,100.0,3,20.1,84.0,2.0,,88.5,93.0,46.0,2.6,
france,0.1,82.0,"67,935,660",0.3,"20,614",0.8,2.78,"40,963.80",2.6,7.4,5.2,1.1,4.0,31.5,100.0,13,6.2,79.0,1.0,116.5,86.3,86.0,37.0,3.5,
french-polynesia,,79.0,"306,279",0.7,-378,,6.08,"19,999.10",2.4,13.1,,0.0,,43.1,100.0,,,,0.0,,,73.0,,0.4,
gabon,2.5,66.0,"2,388,992",2,"1,516",0.5,21.07,"8,820.30",3,21.5,4.2,0.0,2.3,91.3,91.8,0,0.6,,,,28.1,72.0,15.0,8.1,
gambia-the,17.2,62.0,"2,705,992",2.5,"-1,960",0.4,2.27,840,4.9,4.8,11.5,27.1,0.2,24.0,63.7,3,,29.0,,,44.0,33.0,9.0,12.4,
georgia,5.5,72.0,"3,712,502",0.1,"-2,734",0.6,24.61,"6,627.70",10.1,11.3,11.9,16.7,2.8,40.6,100.0,3,0.0,34.0,2.0,55.4,80.1,76.0,19.0,6.8,
germany,0.0,81.0,"84,079,811",1.1,"312,735",0.8,4,"48,432.50",1.8,3.0,6.9,0.5,7.3,32.7,100.0,23,26.3,97.0,1.0,,87.5,91.0,35.0,1.2,
ghana,25.2,64.0,"33,475,870",1.9,"-11,253",0.5,72.84,"2,175.90",3.2,3.9,31.3,6.4,0.6,35.1,86.3,5,0.0,13.0,2.0,,62.0,68.0,15.0,3.3,
gibraltar,,79.0,"32,649",-0.1,-58,,,,,,,,,0.0,100.0,,0.0,,3.0,,,94.0,,,
greece,0.8,80.0,"10,566,531",-0.7,"-14,806",0.7,219.07,"20,732.10",5.9,12.2,9.6,0.3,4.8,30.3,100.0,17,16.9,92.0,1.0,237.1,85.4,78.0,21.0,3.1,
greenland,,71.0,"56,661",0,-62,,3,"57,116.40",1.3,,,,,0.0,100.0,,,92.0,5.0,,,69.0,,,
grenada,,75.0,"125,438",0.7,-85,0.6,1.26,"10,016.20",5.8,,1.2,5.5,2.6,52.1,93.7,7,,,4.0,,,78.0,31.0,12.8,
guam,,77.0,"171,774",0.7,-244,,6.12,"35,904.90",1.1,6.1,,,,51.9,100.0,,,,4.0,,,81.0,,,
guatemala,9.5,69.0,"17,357,886",1.4,"-29,118",0.5,95,"5,473.20",4.1,2.6,6.9,19.1,1.0,32.9,97.9,3,25.3,,20.0,25.2,61.0,51.0,19.0,4.2,
guinea,13.8,59.0,"13,859,341",2.4,"-4,367",0.4,21,"1,531.70",4.7,5.7,10.5,0.2,0.3,25.2,46.8,0,,,,,45.9,35.0,30.0,1.2,
guinea-bissau,21.7,60.0,"2,105,566",2.2,"-1,395",,1.63,775.8,3.5,3.6,9.4,10.9,0.2,70.4,35.8,1,,12.0,1.0,,33.4,35.0,14.0,1.1,
guyana,,66.0,"808,726",0.5,"-4,316",0.5,15.36,"18,989.80",57.8,12.4,5.0,2.6,3.5,93.6,92.9,1,,,16.0,,41.5,85.0,35.0,27.8,
haiti,29.2,63.0,"11,584,996",1.2,"-32,977",0.4,20.25,"1,748.30",-1.7,14.8,34.0,22.4,0.3,12.6,47.2,11,0.0,,13.0,,37.5,39.0,3.0,0.2,
honduras,12.7,70.0,"10,432,860",1.5,"-5,779",0.5,32,"3,040.20",4,7.1,9.1,26.8,0.9,56.8,94.1,2,16.2,50.0,38.0,,61.2,48.0,27.0,3.4,
hong-kong-sar-china,,85.0,"7,346,100",-0.9,0,0.8,359.84,"48,983.60",-3.5,5.1,1.9,0.1,,,100.0,,0.3,86.0,0.0,,,93.0,,33.6,
hungary,0.4,74.0,"9,683,505",-0.3,"19,870",0.7,178.79,"18,463.20",4.6,3.4,14.6,2.0,4.6,22.5,100.0,78,9.8,88.0,1.0,86.9,84.8,89.0,14.0,-7.3,
iceland,0.0,83.0,"381,900",2.5,622,0.7,27.84,"72,903.00",6.4,3.8,8.3,0.7,3.9,0.5,100.0,0,26.7,84.0,1.0,96.9,77.8,100.0,48.0,3.5,
india,10.0,67.0,1.42,0.7,"-301,970",0.5,3.39,"2,388.60",7,7.3,6.7,3.3,1.6,24.3,99.6,45,5.4,46.0,3.0,46.5,70.4,46.0,15.0,1.5,
indonesia,2.5,68.0,"275,501,339",0.6,"-14,992",0.5,1.32,"4,788.00",5.3,3.6,4.2,0.8,2.1,49.1,99.2,11,4.8,,1.0,44.4,72.2,62.0,22.0,1.6,
iran-islami-rep,1.0,74.0,"88,550,570",0.7,"28,080",0.6,389,"4,387.80",2.7,11.0,43.4,0.5,7.1,6.6,100.0,72,0.1,,2.0,,56.7,79.0,6.0,0.4,
iraq,0.1,70.0,"44,496,122",2.2,"-60,097",0.4,264,"5,937.20",7,15.5,5.0,0.2,3.8,1.9,100.0,161,0.0,43.0,9.0,27.4,34.8,49.0,29.0,-1.3,
ireland,0.1,82.0,"5,086,988",1.1,"15,320",0.8,529,"104,038.90",12,4.4,7.8,0.1,6.8,11.4,100.0,3,25.1,83.0,0.0,65.4,87.0,95.0,23.0,2.8,
isle-of-man,,81.0,"84,519",0.3,517,,6.68,"79,530.60",-8.8,,,,,6.1,100.0,,,,0.0,,,,,,
Palestine,0.5,83.0,"9,550,600",2,"16,856",0.7,522.03,"54,659.80",6.5,3.5,4.4,0.2,6.3,6.5,100.0,170,1.9,95.0,2.0,,78.1,90.0,23.0,5.3,
italy,0.8,83.0,"58,856,847",-0.4,"28,021",0.7,2.01,"34,158.00",3.7,8.1,8.2,0.5,4.7,32.3,100.0,18,22.5,96.0,1.0,,89.8,75.0,32.0,1.6,
jamaica,1.2,71.0,"2,827,377",0,"-5,664",0.5,17,"6,047.20",4.2,6.0,10.3,21.6,2.1,55.1,100.0,12,7.1,,52.0,106.3,54.6,82.0,29.0,1.9,
japan,0.7,84.0,"125,124,989",-0.4,"87,584",0.8,4.23,"33,815.30",1,2.6,2.5,0.1,8.0,68.4,100.0,18,7.8,81.0,0.0,217.6,85.8,83.0,10.0,1.1,
jordan,0.0,74.0,"11,285,869",1.2,"14,374",0.6,47.45,"4,204.50",2.5,17.9,4.2,9.8,1.9,1.1,99.9,138,0.7,82.0,1.0,76.2,62.0,83.0,12.0,1.4,
kazakhstan,0.0,70.0,"19,621,972",3.2,"-18,917",0.6,220.62,"11,243.70",3.2,5.0,8.0,0.2,11.3,1.3,100.0,38,0.2,,3.0,22.4,78.6,91.0,27.0,2.2,
kenya,29.4,61.0,"54,027,487",1.9,"-52,549",0.5,113.42,"2,099.30",4.8,5.5,7.7,3.6,0.4,6.3,76.5,19,48.3,,5.0,,54.5,29.0,23.0,0.4,
kiribati,1.7,67.0,"131,232",1.8,-296,0.5,"223,352,943","1,702.00",1.6,,-1.8,6.7,0.4,1.5,92.8,,,27.0,7.0,,24.5,54.0,7.0,0.5,
korea-dem-peoples-rep,,73.0,"26,069,416",0.4,"-1,589",,,,,3.0,,,2.0,50.1,52.6,13,0.0,,,,,0.0,18.0,,
korea-rep,0.2,84.0,"51,628,117",-0.2,"43,440",0.8,1.67,"32,254.60",2.6,2.8,5.1,0.5,11.0,64.4,100.0,45,1.5,100.0,1.0,49.2,88.3,98.0,19.0,1.1,
kosovo,0.4,77.0,"1,761,985",-1.4,"-15,050",0.6,9.43,"5,351.40",3.5,,11.6,17.1,,,,,0.0,,2.0,,,89.0,,8.6,
kuwait,,79.0,"4,268,873",0.4,"-36,843",0.6,184.56,"43,233.50",8.2,2.5,3.4,0.0,21.2,0.4,100.0,,0.0,100.0,0.0,,64.2,100.0,6.0,0.4,
kyrgyz-republic,1.3,72.0,"6,803,300",1.7,"-16,510",0.6,11,"1,606.70",7,4.6,13.9,27.9,1.4,6.9,99.7,16,0.0,92.0,2.0,59.6,78.6,78.0,20.0,2.6,
lao-pdr,7.1,68.0,"7,529,475",1.4,"-10,303",0.5,15.72,"2,088.40",2.7,2.6,23.0,1.3,2.6,71.9,100.0,4,,61.0,,,54.1,62.0,22.0,5.7,
latvia,0.5,73.0,"1,883,379",-0.1,"-6,815",0.7,41.15,"21,851.10",2,6.4,17.3,3.2,3.6,54.8,100.0,1,16.6,83.0,3.0,,83.7,91.0,30.0,3,
lebanon,0.0,75.0,"5,489,739",-1.9,"-115,122",0.5,23.13,"4,136.10",-7,12.6,154.8,27.5,3.8,14.0,100.0,38,0.0,16.0,2.0,,51.9,87.0,6.0,2.6,
lesotho,32.4,53.0,"2,305,825",1.1,"-1,490",0.4,3,"1,107.40",0.6,18.0,8.3,22.5,1.0,1.1,50.4,1,,48.0,38.0,2.9,55.2,48.0,26.0,-0.3,
liberia,27.6,61.0,"5,302,681",2.1,"-11,862",0.3,4,754.5,4.8,3.6,23.6,8.8,0.2,79.1,29.8,0,,,3.0,20.3,49.4,34.0,11.0,1.3,
libya,,72.0,"6,812,341",1.1,-696,,45.75,"6,716.10",-1.2,20.7,2.6,0.0,6.7,0.1,70.2,817,0.0,22.0,,,21.4,18.0,16.0,0,
liechtenstein,,84.0,"39,327",0.7,231,,7.19,"184,083.30",-1.2,,,,3.7,41.9,100.0,,,99.0,5.0,,,96.0,28.0,"-1,303.10",
lithuania,0.2,74.0,"2,833,000",1.1,"-11,853",0.7,70.33,"24,826.80",1.9,5.6,19.7,1.0,4.2,35.1,100.0,2,31.2,94.0,3.0,48.9,84.9,87.0,28.0,1,
luxembourg,0.0,83.0,"650,774",1.7,"6,949",0.7,82.27,"126,426.10",1.5,4.7,6.3,2.7,12.5,34.5,100.0,5,24.9,97.0,1.0,,78.2,99.0,33.0,-10.6,
macao-sar-china,,85.0,"695,168",1.2,"4,004",0.8,21.98,"31,617.50",-26.8,2.6,1.0,0.1,,,100.0,,,67.0,0.0,,,88.0,,16.1,
Madagascar,80.7,64.0,"29,611,714",2.4,-742,0.4,14.95,505,3.8,2.1,8.2,4.8,0.1,21.4,35.1,4,,10.0,,,52.0,20.0,19.0,2.5,
malawi,70.1,63.0,"20,405,317",2.6,"-1,775",0.4,13.16,645.2,0.9,5.6,21.0,2.0,0.1,23.8,14.2,8,,24.0,2.0,44.9,56.5,24.0,23.0,0.4,
malaysia,0.0,75.0,"33,938,221",1.1,"46,165",0.6,406.31,"11,971.90",8.7,3.7,3.4,0.4,7.4,58.2,100.0,1,0.7,77.0,1.0,63.4,71.1,97.0,14.0,3.7,
maldives,0.0,80.0,"523,787",0.4,"1,189",,6.19,"11,817.50",12.3,4.9,2.3,0.1,2.8,2.7,100.0,16,,,1.0,46.2,52.9,86.0,5.0,11.7,
mali,14.8,59.0,"22,593,590",3.1,"-22,236",0.3,18.83,833.3,3.7,2.8,3.9,5.8,0.2,10.9,53.4,9,,20.0,,,51.9,34.0,29.0,3.3,
malta,0.3,83.0,"523,417",0.9,"10,408",0.7,17.77,"33,940.90",6.9,2.8,6.2,1.3,3.1,1.4,100.0,82,7.7,92.0,0.0,,74.6,87.0,28.0,27.2,
marshall-islands,0.9,65.0,"41,569",-1.2,"-1,901",0.4,"279,667,900","6,727.80",1.5,,,10.7,2.5,52.2,99.8,,,,,41.7,20.9,39.0,6.0,0.2,
mauritania,6.5,64.0,"4,736,139",2.6,"-1,494",0.4,10.38,"2,190.70",5.2,11.1,9.5,1.6,0.9,0.3,47.7,337,,,1.0,,48.1,59.0,20.0,10.7,
mauritius,0.1,74.0,"1,262,523",-0.3,-478,0.6,12.9,"10,216.30",8.7,7.2,10.8,2.1,2.9,19.1,99.6,22,18.7,,3.0,58.0,75.9,68.0,20.0,2.2,
mexico,3.1,70.0,"127,504,125",0.6,"-52,649",0.6,1,"11,091.30",3.1,3.3,7.9,4.3,3.0,33.8,100.0,22,5.5,57.0,28.0,46.3,87.5,76.0,50.0,2.7,
micronesia-fed-sts,16.0,71.0,"114,164",0.9,-635,0.5,"427,094,119","3,741.10",-0.6,,5.4,0.0,1.0,92.0,83.6,,,,1.0,25.4,23.8,40.0,7.0,6.3,
moldova,0.0,69.0,"2,592,477",-0.9,"-14,278",0.6,14.42,"5,562.60",-5.9,2.3,28.7,14.1,3.3,11.8,100.0,52,0.3,,3.0,32.1,79.3,61.0,41.0,4.1,
monaco,,,"36,469",-0.6,206,,9,"234,317.10",21.6,,,,,0.0,100.0,,,100.0,0.0,,,86.0,33.0,,
mongolia,0.7,71.0,"3,398,366",1.5,0,0.6,16.81,"4,946.80",4.8,8.2,15.1,2.4,6.4,9.1,100.0,1,3.1,56.0,6.0,67.6,76.3,84.0,17.0,14.9,
montenegro,2.8,74.0,"616,159",-0.5,-101,0.6,6.1,"9,893.50",6.1,15.4,13.0,13.6,4.1,61.5,99.8,,0.0,45.0,2.0,,67.0,82.0,27.0,14.3,
morocco,1.4,74.0,"37,457,971",1,"-46,242",0.5,134.18,"3,527.90",1.1,10.5,6.7,8.3,1.8,12.9,100.0,36,8.2,39.0,2.0,51.2,59.0,88.0,24.0,1.6,
mozambique,64.6,59.0,"32,969,518",2.7,"-9,515",0.4,17.85,541.5,4.1,3.9,10.3,1.7,0.2,46.7,31.5,1,0.0,,4.0,86.2,56.2,17.0,42.0,14.2,
myanmar,2.0,66.0,"54,179,306",0.7,"-35,382",0.5,59.36,"1,095.70",3,1.5,8.8,3.2,0.6,43.7,72.5,3,0.0,61.0,28.0,0.0,63.8,44.0,15.0,3.2,
namibia,15.6,59.0,"2,567,012",1.4,"-4,301",0.4,12.61,"4,911.30",4.6,20.8,6.1,0.4,1.6,8.1,55.2,5,0.0,,12.0,4.6,52.2,53.0,44.0,7.4,
nauru,1.7,64.0,"12,668",1.2,-66,,"150,922,211","11,913.70",2.4,,-0.1,5.0,3.4,0.0,100.0,,,,,,,84.0,11.0,,
nepal,8.2,68.0,"30,547,580",1.7,"296,541",0.5,40.83,"1,336.50",5.6,11.1,4.1,22.8,0.5,41.6,89.9,5,0.2,49.0,2.0,39.9,53.6,52.0,33.0,0.2,
netherlands,0.0,81.0,"17,703,090",1,"57,439",0.8,991.11,"55,985.40",4.5,3.5,10.0,0.2,7.5,11.0,100.0,76,12.4,97.0,1.0,,88.0,92.0,41.0,-0.3,
new-caledonia,,79.0,"276,780",0.8,"-1,182",,10.07,"36,668.40",-2.1,12.3,0.6,0.0,,45.8,100.0,,,,3.0,,,82.0,,-4.9,
new-zealand,,82.0,"5,124,100",0.2,"38,220",0.8,247.23,"48,249.30",2.2,3.3,7.2,0.3,6.2,37.6,100.0,3,24.6,82.0,3.0,51.0,85.3,96.0,50.0,3.2,
nicaragua,3.9,74.0,"6,948,392",1.4,"-10,384",0.5,15.67,"2,255.40",3.8,5.6,10.5,20.6,0.7,28.3,86.3,1,43.6,,11.0,,51.7,57.0,52.0,8.3,
niger,50.6,62.0,"26,207,977",3.7,"-4,405",0.3,13.97,533,11.5,0.5,4.2,3.8,0.1,0.9,18.6,74,0.8,16.0,4.0,,57.0,22.0,26.0,4,
nigeria,30.9,53.0,"218,541,212",2.4,"218,541,212",0.4,477,"2,184.40",3.3,5.8,18.8,4.2,0.5,23.7,59.7,6,0.0,31.0,22.0,,53.6,55.0,4.0,0,
north-macedonia,2.7,75.0,"2,057,679",-0.4,-486,0.6,13.56,"6,591.50",2.1,15.1,14.2,3.4,3.3,39.7,100.0,30,2.9,12.0,1.0,,72.0,83.0,42.0,6.4,
northern-mariana-islands,,,"49,551",0.1,-431,,"858,000,000","17,302.90",-29.7,,,,,53.0,100.0,,,,,,,,,,
norway,0.2,83.0,"5,457,127",0.9,"10,604",0.8,579.27,"106,148.80",3.3,3.2,5.8,0.1,6.7,33.4,100.0,1,1.9,65.0,1.0,,90.1,99.0,45.0,0.8,
oman,,73.0,"4,576,298",1.2,"-20,664",0.6,114.67,"25,056.80",4.3,2.3,2.8,0.0,15.6,0.0,100.0,117,0.0,,0.0,,58.5,96.0,2.0,4.6,
pakistan,4.9,66.0,"235,824,862",1.9,"-471,395",0.4,377,"1,596.70",6.2,6.4,19.9,7.9,0.8,4.8,94.9,345,0.8,,4.0,66.8,60.7,21.0,20.0,0.4,
palau,,69.0,"18,055",0.2,3,0.6,"217,800,000","12,083.90",-13.3,,12.4,1.2,8.8,90.0,100.0,,,,11.0,86.1,,27.0,6.0,14.7,
panama,1.1,76.0,"4,408,581",1.3,"5,473",0.5,77,"17,357.60",10.8,8.8,2.9,0.8,2.2,56.8,95.3,1,4.6,,13.0,,59.6,68.0,23.0,2.6,
papua-new-guinea,39.7,65.0,"10,142,619",1.9,"10,695",0.4,31,"3,020.30",4.6,2.8,4.5,0.0,0.6,79.2,20.9,0,,,9.0,48.7,40.8,32.0,2.0,0,
paraguay,0.7,70.0,"6,780,744",1.1,"-8,230",0.5,41.72,"6,153.10",0.1,6.9,9.8,1.4,1.1,40.5,100.0,2,0.0,60.0,8.0,,61.1,77.0,18.0,1.1,
peru,2.9,72.0,"34,049,588",1,"68,012",0.6,242.63,"7,125.80",2.7,3.7,8.3,1.5,1.4,56.5,95.6,2,3.6,53.0,6.0,35.7,68.8,71.0,40.0,4.5,
philippines,3.0,69.0,"115,559,009",1.5,"-80,125",0.5,404.28,"3,498.50",7.6,2.2,5.8,2.2,1.2,24.1,97.5,18,14.9,61.0,4.0,43.4,75.7,53.0,27.0,2.3,
poland,0.1,76.0,"37,561,599",-0.5,"-2,968",0.8,688.18,"18,321.30",4.9,2.6,14.4,0.9,7.4,31.0,100.0,16,12.7,91.0,1.0,,89.1,85.0,28.0,5.1,
portugal,0.5,81.0,"10,379,007",0.5,"27,295",0.8,251.95,"24,274.50",6.7,5.8,7.8,1.9,3.8,36.2,100.0,16,30.6,85.0,1.0,,85.5,82.0,37.0,3.1,
puerto-rico,,80.0,"3,221,789",-1.3,"-7,408",,113.43,"35,208.60",3.4,6.0,,,,56.0,100.0,12,,33.0,17.0,,,78.0,,,
qatar,,79.0,"2,695,122",0.3,"-30,801",0.6,237,"88,046.30",4.8,0.1,5.0,0.4,31.7,0.0,100.0,446,0.0,97.0,0.0,,63.0,100.0,4.0,0,
romania,1.4,73.0,"18,956,666",-0.9,"-12,724",0.6,301.26,"15,892.10",4.8,5.4,13.8,2.9,3.6,30.1,100.0,15,14.5,83.0,1.0,55.7,77.5,84.0,19.0,3.9,
russian-federation,0.0,69.0,"143,555,736",0.1,"320,617",0.7,2.24,"15,345.10",-2.1,4.7,6.7,0.1,11.2,49.8,100.0,2,0.1,61.0,7.0,20.9,78.2,88.0,16.0,-1.9,
rwanda,52.0,66.0,"13,776,698",2.3,"-6,112",0.4,13.31,966.3,8.2,13.0,17.7,3.6,0.1,11.2,48.7,6,,,4.0,,67.3,30.0,61.0,3,
samoa,1.2,73.0,"222,382",1.6,-882,0.5,"832,421,565","3,743.20",-6,10.3,11.0,33.6,1.0,58.2,98.3,,,48.0,6.0,,57.0,78.0,13.0,0.6,
san-marino,,,"33,660",-0.3,41,,1.86,"54,982.50",8.5,,1.0,,,16.7,100.0,,,70.0,0.0,95.1,,75.0,33.0,,
sao-tome-and-principe,15.6,68.0,"227,380",1.9,-792,,"546,680,342","2,404.30",0.9,15.3,18.0,1.9,0.6,54.1,78.5,2,,35.0,3.0,,39.9,51.0,15.0,11.2,
saudi-arabia,,77.0,"36,408,820",1.3,"-153,883",0.6,1.11,"30,436.30",8.7,5.6,2.5,0.0,14.3,0.5,100.0,974,0.0,59.0,1.0,,63.4,100.0,20.0,0.7,
senegal,9.3,67.0,"17,316,449",2.6,"-10,091",0.4,27.68,"1,598.70",4.2,3.4,9.7,9.8,0.6,41.9,68.0,12,1.8,24.0,0.0,,63.6,58.0,44.0,8.1,
serbia,1.6,73.0,"6,760,087",-1.1,243,0.7,63.5,"9,393.60",2.3,9.5,12.0,8.8,6.7,31.1,100.0,63,0.1,18.0,1.0,,75.8,81.0,37.0,7.2,
seychelles,0.5,73.0,"100,060",0.8,146,0.6,1.59,"15,874.50",8.8,,8.3,0.6,6.1,73.3,100.0,,,,5.0,62.7,48.6,82.0,23.0,8.7,
sierra-leone,26.1,60.0,"8,605,718",2.2,"-1,544",0.4,3.97,461.4,3.5,3.6,27.2,4.5,0.1,35.1,27.5,0,,14.0,2.0,,52.8,18.0,12.0,5,
singapore,,83.0,"5,637,022",3.3,"19,321",0.9,466.79,"82,807.60",3.6,2.8,6.1,0.0,7.7,21.7,100.0,83,1.8,100.0,0.0,153.8,75.1,91.0,29.0,30.2,
sint-maarten-dutch-part,,74.0,"43,389",1.3,212,,1.57,"36,220.30",9.7,,2.2,3.3,,10.9,100.0,,,,,,,,,2,
