País,Proporción de la población en pobreza extrema a $2.15 al día (PPP 2017) (%),"Esperanza de vida al nacer, total (años)","Población, total",Crecimiento de la población (anual %),Migración neta,Índice de Capital Humano (HCI) (escala 0-1),PIB (US$ corrientes)US$ corrientesUS$ constantesLCU corrientesLCU constantes,PIB per cápita (US$ corrientes)US$ corrientesUS$ constantesLCU corrientesLCU constantes,Crecimiento del PIB (anual %),"Desempleo, total (% de la fuerza laboral total) (estimación OIT modelada)","Inflación, precios al consumidor (anual %)","Remesas personales, recibidas (% del PIB)",Emisiones de CO2 (toneladas métricas per cápita),Superficie forestal (% del área terrestre),Acceso a la electricidad (% de la población),"Retiros anuales de agua dulce, total (% de recursos internos)","Producción de electricidad a partir de fuentes renovables, excluyendo hidroeléctrica (% del total)",Personas que utilizan servicios de saneamiento gestionados de forma segura (% de la población),Homicidios intencionales (por cada 100.000 habitantes),"Deuda pública del gobierno central, total (% del PIB)",Indicadores de desempeño estadístico (SPI): Puntuación general (escala 0-100),Individuos que utilizan Internet (% de la población),Proporción de escaños ocupados por mujeres en los parlamentos nacionales (%),"Inversión extranjera directa, entradas netas (% del PIB)",Unnamed: 25
turkmenistan,,69.0,"6,430,770",1.4,"-4,503",,45.61,"7,297.20",-3.4,5.0,,0.0,10.2,8.8,100.0,"1,868",0.0,,1.0,,23.5,21.0,26.0,2.6,
turks-and-caicos-islands,,75.0,"45,703",1.3,682,,1.14,"24,917.60",-0.5,,,0.0,,11.1,100.0,,,,6.0,,,,,2.7,
tuvalu,3.6,65.0,"11,312",1,-15,0.4,"60,349,391","5,335.00",0.7,,0.5,4.2,0.6,33.3,99.7,,,6.0,0.0,,,72.0,6.0,0.3,
uganda,42.2,63.0,"47,249,585",3,"43,465",0.4,45.56,964.2,4.7,4.3,7.2,2.5,0.1,11.7,45.2,2,,,9.0,51.3,67.6,10.0,34.0,2.7,
ukraine,0.0,70.0,"38,000,000",-14.2,831,0.6,160.5,"4,534.00",-29.1,9.8,20.2,10.6,3.8,16.7,100.0,17,1.1,72.0,4.0,58.7,72.5,79.0,20.0,0.3,
united-arab-emirates,0.0,79.0,"9,441,129",0.8,"-2,762",0.7,507.53,"53,757.90",7.4,2.8,4.8,,20.3,4.5,100.0,"1,587",0.2,99.0,0.0,1.8,59.7,100.0,50.0,5,
united-kingdom,0.5,81.0,"66,971,411",-0.1,"202,027",0.8,3.07,"45,850.40",4.1,3.6,7.9,0.1,4.6,13.2,100.0,6,23.0,98.0,1.0,186.5,83.2,97.0,35.0,1.4,
united-states,0.2,76.0,"333,287,557",0.4,"561,580",0.7,25.46,"76,398.60",2.1,3.6,8.0,0.0,13.0,33.9,100.0,16,7.4,98.0,7.0,120.4,88.9,92.0,29.0,1.4,
uruguay,0.1,75.0,"3,422,794",-0.1,"-1,486",0.6,71.18,"20,795.00",4.9,7.8,9.1,0.2,1.9,11.6,100.0,4,28.4,,9.0,60.3,66.8,90.0,25.0,13.1,
uzbekistan,81.5,71.0,"35,648,100",2.1,"-39,201",0.6,80.39,"2,255.20",5.7,6.0,11.4,20.8,3.4,8.4,99.9,360,0.0,,1.0,,54.9,77.0,33.0,3.1,
vanuatu,10.0,70.0,"326,740",2.4,-197,0.5,"983,582,865","3,010.30",1.8,2.1,2.3,7.6,0.4,36.3,70.0,,,,0.0,,40.7,66.0,2.0,4.3,
venezuela-rb,7.1,71.0,"28,301,696",0.4,"-525,116",,482.36,"15,975.70",-3.9,5.3,254.9,0.0,2.5,52.4,100.0,3,0.0,23.0,19.0,,43.9,62.0,22.0,0.2,
vietnam,0.7,74.0,"98,186,856",0.7,-992,0.7,408.8,"4,163.50",8,1.9,3.2,4.6,3.7,46.7,100.0,23,0.1,,2.0,,66.0,74.0,30.0,4.3,
virgin-islands-us,,80.0,"105,413",-0.4,-224,,4,"39,552.20",-2.1,12.4,,,,56.9,100.0,,,,50.0,,,64.0,,,
west-bank-and-gaza,,0.5,73,"5,043,612",2.4,"-12,369",1,19.11,"3,789.30",3.9,25.7,1.2,21.2,,1.7,100,43.0,,67.0,1.0,,70.4,75.0,,1.2
yemen-rep,19.8,64.0,"33,696,614",2.1,"-101,468",0.4,22,676.90,0.8,13.6,8.1,0.0,0.3,1.0,74.9,170,0.0,19.0,6.0,,36.8,27.0,0.0,-1.3,
zambia,61.4,61.0,"20,017,675",2.8,"9,015",0.4,29.78,"1,487.90",4.7,6.1,11.0,0.8,0.4,60.3,46.7,2,0.0,,5.0,71.2,59.0,21.0,15.0,0.4,
zimbabwe,39.8,59.0,"16,320,537",2,"-25,005",0.5,20.68,"1,267.00",3.4,7.9,104.7,9.9,0.5,45.1,49.0,31,1.3,26.0,6.0,,61.7,35.0,31.0,0.6,
